DATA;CORO 1;T_CORO 1;CORO 2;T_CORO 2;ASTRA 1;T_ASTRA 1;ASTRA 2;T_ASTRA 2;SAUDE 1;T_SAUDE 1;SAUDE 2;T_SAUDE 2;EDUC 1;T_EDUC 1;EDUC 2;T_EDUC 2;IDOSO 1;T_IDOSO 1;IDOSO 2;T_IDOSO 2;CORMOB 1;T_CORMOB 1;CORMOB 2;T_CORMOB 2;MOTOR-COBRADORES 1;MOTOR-COBRADORES 1;MOTOR-COBRADORES 2;MOTOR-COBRADORES 2;;;;;;;;;;;
20/mai;0;26182;0;26.192;0;30.579;0;4.220;24;7.165;3;6.504;0;1.435;3;1.418;0;36.296;947;18.363;31;7.341;0;0;0;0;0;0;;;;;;;;;;;
21/mai;0;26182;0;26.192;0;30.579;0;4.220;25;7.190;2;6.506;1;1.436;0;1.418;5;36.301;1;18.364;33;7.374;0;0;0;0;0;0;;;;;;;;;;;
24/mai;560;26742;3210;29.402;3765;34.344;0;4.220;10;7.200;157;6.663;0;1.436;3;1.421;168;36.469;136;18.500;3289;10.663;0;0;319;319;0;0;;;;;;;;;;;
25/mai;0;26742;0;29.402;0;34.344;0;4.220;0;7.200;63;6.726;0;1.436;0;1.421;3;36.472;255;18.755;52;10.715;0;0;319;319;0;0;;;;;;;;;;;
26/mai;0;26742;0;29.402;0;34.344;0;4.220;6;7.206;53;6.779;0;1.436;0;1.421;7;36.479;405;19.160;105;10.820;0;0;319;319;0;0;;;;;;;;;;;
27/mai;0;26742;0;29.402;0;34.344;0;4.220;0;7.206;1;6.780;0;1.436;0;1.421;7;36.486;7;19.167;24;10.844;0;0;319;319;0;0;;;;;;;;;;;
28/mai;0;26742;0;29.402;3845;38.189;0;4.220;252;7.458;0;6.780;0;1.436;1;1.422;0;36.486;3;19.170;4;10.848;1;1;375;375;0;0;;;;;;;;;;;
31/mai;0;26742;0;29.402;0;38.189;0;4.220;175;7.633;17;6.797;1;1.437;0;1.422;103;36.589;349;19.519;3156;14.004;0;1;404;404;0;0;;;;;;;;;;;
01/jun;0;26742;0;29.402;0;38.189;0;4.220;12;7.645;22;6.819;0;1.437;6;1.428;52;36.641;190;19.709;380;14.384;0;1;404;404;0;0;;;;;;;;;;;
02/jun;0;26742;0;29.402;5705;43.894;0;4.220;16;7.661;11;6.830;115;1.552;3;1.431;17;36.658;201;19.910;118;14.502;0;1;404;404;0;0;;;;;;;;;;;
04/jun;0;26742;0;29.402;0;43.894;0;4.220;4;7.665;11;6.841;0;1.552;1;1.432;29;36.687;202;20.112;1475;15.977;1;2;404;404;0;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
