DATA;CORO 1;T_CORO 1;CORO 2;T_CORO 2;ASTRA 1;T_ASTRA 1;ASTRA 2;T_ASTRA 2;SAUDE 1;T_SAUDE 1;SAUDE 2;T_SAUDE 2;EDUC 1;T_EDUC 1;EDUC 2;T_EDUC 2;IDOSO 1;T_IDOSO 1;IDOSO 2;T_IDOSO 2;CORMOB 1;T_CORMOB 1;CORMOB 2;T_CORMOB 2;MOTOR-COBRADORES 1;MOTOR-COBRADORES 1;MOTOR-COBRADORES 2;MOTOR-COBRADORES 2;;;;;;;;;;;
01/abr;20482;20482;9.732;9.732;4.220;4.220;0;0;6.685;6.685;4.359;4.359;0;0;0;0;17.844;17.844;5.422;5.422;0;0;0;0;0;0;0;0;;;;;;;;;;;
05/abr;22212;22212;11.892;11.892;4.220;4.220;0;0;6.686;6.686;4.367;4.367;0;0;0;0;17.853;17.853;5.717;5.717;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
06/abr;22212;22212;11.892;11.892;4.220;4.220;0;0;6.688;6.688;4.378;4.378;0;0;0;0;19.519;19.519;6.753;6.753;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
07/abr;22212;22212;11.892;11.892;4.220;4.220;0;0;6.688;6.688;4.385;4.385;0;0;0;0;19.520;19.520;7.356;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;17259
08/abr;23972;23972;11.892;11.892;4.220;4.220;0;0;6.688;6.688;4.385;4.385;0;0;0;0;19.520;19.520;7.356;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;17264
09/abr;23972;23972;15.712;15.712;4.220;4.220;0;0;6.688;6.688;4.385;4.385;0;0;0;0;19.520;19.520;7.356;7.356;0;0;0;0;0;0;0;0;;;;;;;;;;;
12/abr;23972;23972;15.712;15.712;4.220;4.220;0;0;6.688;6.688;4.447;4.447;0;0;0;0;19.543;19.543;10.652;10.652;0;0;0;0;0;0;0;0;;;;;;;;;;;
13/abr;23972;23972;15.712;15.712;4.220;4.220;0;0;6.688;6.688;4.447;4.447;1.106;1.106;0;0;19.543;19.543;10.762;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
14/abr;23972;23972;15.712;15.712;4.220;4.220;0;0;6.688;6.688;4.447;4.447;1.431;1.431;0;0;19.545;19.545;10.762;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
15/abr;23972;23972;20.492;20.492;6.160;6.160;0;0;6.688;6.688;4.447;4.447;1.431;1.431;0;0;21.151;21.151;10.762;10.762;0;0;0;0;0;0;0;0;;;;;;;;;;;
16/abr;23972;23972;20.492;20.492;6.160;6.160;0;0;6.688;6.688;4.460;4.460;1.431;1.431;0;0;21.173;21.173;12.357;12.357;0;0;0;0;0;0;0;0;;;;;;;;;;;
19/abr;23972;23972;20.492;20.492;6.160;6.160;0;0;6.688;6.688;4.469;4.469;1.431;1.431;0;0;21.191;21.191;14.022;14.022;0;0;0;0;0;0;0;0;;;;;;;;;;;
20/abr;23972;23972;20.492;20.492;10.390;10.390;2.300;2.300;6.688;6.688;4.471;4.471;1.431;1.431;0;0;21.191;21.191;14.920;14.920;0;0;0;0;0;0;0;0;;;;;;;;;;;
22/abr;26182;26182;20.492;20.492;10.390;10.390;2.300;2.300;6.939;6.939;5.111;5.111;1.431;1.431;0;0;21.191;21.191;14.920;14.920;0;0;0;0;0;0;0;0;;;;;;;;;;;
23/abr;26182;26182;20.492;20.492;10.390;10.390;2.300;2.300;6.939;6.939;5.418;5.418;1.431;1.431;0;0;23.017;23.017;14.920;14.920;0;0;0;0;0;0;0;0;;;;;;;;;;;
